  373506.968562		  372345.820176		  296827.765862		  240971.346415		  198651.722442		  166002.594146		  140415.537980		  120073.496919		  103684.260987		   90313.388300		   79274.679188		   70056.472385		   62271.087308		   55619.585130		   49866.924473		   44824.548032		   40339.160092		   36289.010227		   32595.440696		   29279.291088		   27978.838065		
  374668.116949		  372345.820176		  296827.765862		  240971.346415		  198651.722442		  166002.594146		  140415.537980		  120073.496919		  103684.260987		   90313.388300		   79274.679188		   70056.472385		   62271.087308		   55619.585130		   49866.924473		   44824.548032		   40339.160092		   36289.010227		   32595.440696		   29279.291088		   26678.385042		
  377932.319811		  373100.443272		  297793.954583		  241485.926368		  198823.500139		  165985.879255		  140313.950128		  119946.196354		  103562.474716		   90212.793635		   79203.146613		   70018.617554		   62270.849516		   55661.524912		   49956.353030		   44965.682721		   40528.207247		   36491.685823		   32670.899903		   28697.660032		   23352.755608		
  374469.933797		  370849.950051		  295604.450832		  239617.723265		  197296.877874		  164771.059023		  139365.438501		  119216.551827		  103009.135574		   89800.832548		   78905.800198		   69816.817657		   62152.435595		   55620.422444		   49991.714632		   45080.737347		   40728.458700		   36783.507692		   33073.543216		   29359.086641		   25329.745150		
  369736.788482		  366869.606047		  291789.824138		  236467.312255		  194833.902542		  162892.615799		  137950.878107		  118159.535380		  102224.839032		   89225.047210		   78491.788736		   69532.040047		   61975.863486		   55540.636686		   50005.838903		   45194.407279		   40957.758086		   37162.317019		   33677.339241		   30372.635734		   27166.582927		
  364470.684861		  362112.354018		  287302.198592		  232791.707498		  191991.111858		  160750.759922		  136357.237625		  116981.619762		  101358.859813		   88593.757476		   78039.720333		   69220.919595		   61781.050881		   55448.774195		   50013.776863		   45309.658001		   41201.263458		   37575.362953		   34335.609952		   31407.011682		   28760.799654		
  359283.786004		  357289.256151		  282801.878384		  229133.064264		  189181.825651		  158649.545959		  134804.853722		  115841.671690		  100525.612282		   87989.234464		   77608.361724		   68924.623147		   61595.412648		   55360.671603		   50020.306703		   45418.541039		   41433.020287		   37967.617645		   34948.952394		   32327.558695		   30083.658495		
  354681.768529		  352958.023529		  278790.344668		  225903.488661		  186723.479041		  156824.460029		  133465.049076		  114863.190751		   99813.700669		   87474.710846		   77242.297227		   68673.645546		   61438.230917		   55285.868829		   50025.342011		   45509.945028		   41627.805891		   38295.743138		   35455.792375		   33072.933558		   31129.852989		
  351113.091577		  349597.186027		  275690.679807		  223442.226003		  184872.260326		  155462.820581		  132472.609693		  114142.453671		   99291.621583		   87098.652476		   76975.355027		   68490.785361		   61323.514086		   55230.706670		   50027.675698		   45574.288391		   41766.129213		   38529.152709		   35816.805781		   33607.651911		   31896.431061		
  349020.495973		  347668.126291		  273910.539770		  222057.289732		  183847.625969		  154718.046667		  131934.383745		  113754.004781		   99011.517424		   86897.521902		   76832.817184		   68393.092113		   61261.913043		   55200.421964		   50027.413280		   45606.217187		   41836.356961		   38648.885042		   36005.049794		   33899.205740		   32371.130330		
  348344.311132		  347668.126291		  273910.539770		  222057.289732		  183847.625969		  154718.046667		  131934.383745		  113754.004781		   99011.517424		   86897.521902		   76832.817184		   68393.092113		   61261.913043		   55200.421964		   50027.413280		   45606.217187		   41836.356961		   38648.885042		   36005.049794		   33899.205740		   33135.168035		
