       9.957560      10.035584      10.113661      10.192882      10.274315      10.358920      10.447685      10.541867      10.642571      10.751047      10.868987      10.997942      11.139666      11.296565      11.471365      11.667052      11.887449      12.137008      12.421065      12.746004      13.119442      13.550315      14.048064      14.618853      15.250150      15.822330      16.246103      16.573652      16.683380      16.651294      16.666226      16.671496      16.658100      16.632452      16.589281      16.450416      16.151452      15.721499      15.151804      14.524212      13.965792      13.482897      13.063405      12.696994      12.375474      12.092100      11.841394      11.618577      11.419314      11.240104      11.078033      10.930382      10.794934      10.669770      10.553391      10.444063      10.340193      10.240435      10.143364      10.047788       9.952589
      10.956231      11.038750      11.121412      11.205217      11.291166      11.380275      11.473610      11.572360      11.677626      11.790603      11.912880      12.045875      12.191200      12.351197      12.528261      12.724884      12.944237      13.189943      13.466143      13.777393      14.128289      14.522978      14.963729      15.446744      15.955126      16.450549      16.934108      17.356771      17.662429      17.866168      17.975224      18.005118      17.959309      17.832858      17.608297      17.288035      16.857431      16.368256      15.872124      15.366077      14.889327      14.456572      14.068967      13.723054      13.414429      13.138755      12.891910      12.670172      12.470050      12.288626      12.123334      11.971840      11.832074      11.702236      11.581026      11.466620      11.357545      11.252624      11.150389      11.049677      10.949427
      11.955333      12.041602      12.127910      12.215296      12.304798      12.397445      12.494273      12.596391      12.704896      12.820959      12.945910      13.081111      13.228110      13.388848      13.565363      13.759815      13.974580      14.212450      14.476465      14.769397      15.093448      15.449638      15.836759      16.248839      16.673007      17.090527      17.489825      17.853677      18.185686      18.443831      18.581757      18.621124      18.568040      18.415961      18.142963      17.798636      17.426509      17.021882      16.602170      16.178409      15.768967      15.385650      15.033290      14.712138      14.420591      14.156506      13.917203      13.699805      13.501774      13.320847      13.154773      13.001556      12.859381      12.726623      12.601990      12.483914      12.371035      12.262192      12.155974      12.051275      11.947089
      12.954933      13.044222      13.133241      13.223224      13.315340      13.410523      13.509729      13.614040      13.724500      13.842204      13.968340      14.104154      14.251005      14.410453      14.584154      14.773969      14.981583      15.208910      15.457961      15.730194      16.026145      16.345173      16.684626      17.038628      17.397474      17.748814      18.081247      18.382630      18.643063      18.841438      18.957908      18.992356      18.945940      18.817537      18.607646      18.337166      18.028128      17.690372      17.335972      16.976014      16.622319      16.284049      15.966448      15.671519      15.399434      15.149489      14.920212      14.709668      14.516108      14.337921      14.173166      14.020086      13.877128      13.743008      13.616429      13.496092      13.380795      13.269260      13.160192      13.052542      12.945329
      13.955007      14.046298      14.137230      14.229044      14.322909      14.419702      14.520242      14.625642      14.736920      14.855028      14.980985      15.115917      15.260995      15.417433      15.586545      15.769850      15.968519      16.183598      16.416286      16.667130      16.935686      17.220395      17.518103      17.823646      18.129501      18.426252      18.704105      18.953040      19.162911      19.320954      19.416202      19.444746      19.405879      19.300562      19.132942      18.914448      18.658506      18.375423      18.075097      17.767076      17.460270      17.161922      16.876913      16.607924      16.356200      16.121869      15.904316      15.702409      15.515162      15.341452      15.179679      15.028319      14.886060      14.751977      14.624811      14.503444      14.386778      14.273600      14.162784      14.053317      13.944211
      14.955394      15.047685      15.139724      15.232612      15.327412      15.424976      15.526005      15.631577      15.742657      15.860024      15.984591      16.117385      16.259358      16.411422      16.574682      16.750168      16.938663      17.140592      17.356452      17.586267      17.829013      18.082670      18.344059      18.608839      18.870913      19.122722      19.356236      19.563181      19.735166      19.863566      19.941284      19.964529      19.932240      19.845666      19.708855      19.529292      19.315973      19.077485      18.821870      18.556930      18.289924      18.026634      17.771393      17.527122      17.295560      17.077358      16.872487      16.680532      16.500960      16.332972      16.175480      16.027134      15.886929      15.754040      15.627397      15.506078      15.389074      15.275287      15.163742      15.053502      14.943631
      15.955864      16.048213      16.140665      16.233978      16.328954      16.426489      16.527289      16.632178      16.742082      16.857806      16.980117      17.109729      17.247443      17.394089      17.550566      17.717438      17.895026      18.083416      18.282644      18.492355      18.711239      18.937153      19.167216      19.397534      19.622998      19.837758      20.035227      20.208618      20.351253      20.456899      20.520739      20.539600      20.512551      20.440756      20.327462      20.177985      19.998725      19.796502      19.577894      19.349058      19.115863      18.883204      18.654837      18.433617      18.221429      18.019295      17.827554      17.646350      17.475344      17.314006      17.161694      17.017376      16.880281      16.749606      16.624552      16.504351      16.387986      16.274534      16.163204      16.053058      15.943113
      16.956199      17.048043      17.140303      17.233421      17.327944      17.424782      17.524679      17.628141      17.736067      17.849349      17.968483      18.093961      18.226565      18.367105      18.516189      18.673897      18.840233      19.015193      19.198444      19.389282      19.586433      19.787805      19.990664      20.191583      20.386377      20.570343      20.738219      20.884540      21.003950      21.091806      21.144691      21.160150      21.137254      21.077103      20.982244      20.856499      20.704669      20.532098      20.344059      20.145567      19.941292      19.735297      19.530950      19.330933      19.137066      18.950517      18.772003      18.601874      18.439968      18.285989      18.139638      18.000256      17.867166      17.739681      17.617169      17.498931      17.384078      17.271850      17.161554      17.052350      16.943353
      17.956573      18.047655      18.139039      18.231183      18.324617      18.420118      18.518379      18.619865      18.725199      18.835166      18.950267      19.070970      19.198026      19.332077      19.473289      19.621533      19.776728      19.938683      20.106836      20.280285      20.457747      20.637326      20.816506      20.992278      21.161206      21.319441      21.462883      21.587099      21.687871      21.761686      21.805787      21.818480      21.799030      21.748136      21.667857      21.561173      21.431750      21.283606      21.121029      20.948128      20.768632      20.585927      20.402908      20.222121      20.045274      19.873576      19.707971      19.548893      19.396378      19.250324      19.110607      18.976868      18.848553      18.725063      18.605890      18.490342      18.377767      18.267613      18.159145      18.051666      17.944502
      18.957101      19.046940      19.136825      19.227313      19.318970      19.412440      19.508413      19.607318      19.709490      19.815577      19.926228      20.041918      20.163152      20.290338      20.423403      20.562163      20.706420      20.855863      21.009800      21.167273      21.327003      21.487310      21.645948      21.800180      21.947210      22.083928      22.207042      22.313076      22.398702      22.461132      22.498195      22.508608      22.491843      22.448483      22.380047      22.288777      22.177694      22.049861      21.908648      21.757444      21.599271      21.436899      21.272882      21.109488      20.948328      20.790658      20.637464      20.489248      20.346195      20.208402      20.075764      19.948093      19.825020      19.706114      19.590948      19.478865      19.369262      19.261805      19.155908      19.050807      18.945714
      19.957893      20.045637      20.133374      20.221650      20.311016      20.402035      20.495234      20.590981      20.689553      20.791487      20.897518      21.007986      21.123104      21.243142      21.367969      21.497274      21.630830      21.768274      21.908845      22.051661      22.195455      22.338741      22.479524      22.615359      22.743869      22.862499      22.968629      23.059590      23.132714      23.185785      23.217154      23.225714      23.211139      23.173898      23.115105      23.036511      22.940435      22.829487      22.706292      22.573583      22.433849      22.289279      22.142240      21.994687      21.848065      21.703592      21.562241      21.424602      21.290956      21.161492      21.036165      20.914914      20.797484      20.683563      20.572841      20.464785      20.358821      20.254632      20.151777      20.049503      19.946983
      20.958554      21.043547      21.128628      21.214251      21.300891      21.389058      21.479135      21.571358      21.666092      21.763807      21.865024      21.969959      22.078778      22.191551      22.308097      22.428165      22.551415      22.677420      22.805521      22.934855      23.064293      23.192398      23.317514      23.437507      23.550249      23.653723      23.745717      23.824103      23.886851      23.932200      23.958815      23.965800      23.952997      23.920707      23.869742      23.801628      23.718123      23.621332      23.513437      23.396596      23.272882      23.144094      23.012204      22.879036      22.745847      22.613755      22.483666      22.356186      22.231729      22.110514      21.992621      21.878014      21.766601      21.658007      21.552025      21.448302      21.346440      21.246058      21.146605      21.047609      20.948631
      21.958770      22.041014      22.123175      22.205738      22.289196      22.374026      22.460532      22.548926      22.639620      22.732994      22.829189      22.928391      23.030774      23.136216      23.244599      23.355694      23.469100      23.584377      23.700900      23.817867      23.934297      24.048915      24.160191      24.266361      24.365667      24.456321      24.536455      24.604330      24.658389      24.697249      24.719794      24.725432      24.714037      24.685869      24.641483      24.582027      24.509133      24.424388      24.329504      24.226318      24.116586      24.001810      23.883539      23.763402      23.642579      23.521993      23.402539      23.284823      23.169271      23.056187      22.945732      22.837878      22.732620      22.629747      22.528919      22.429863      22.332457      22.236260      22.140724      22.045579      21.950630
