 -323255.185794		 -328354.303288		 -338743.059603		 -349331.579849		 -360139.019051		 -371195.742620		 -382545.029244		 -394244.304470		 -406362.900013		 -418966.318074		 -432052.549386		 -445825.155292		 -448479.176495		 -450745.006500		 -452852.767578		 -454886.478921		 -456887.800641		 -458887.607513		 -460924.129113		 -463073.986059		 -465537.411132		 -468527.598270		 -481873.282586		 -495025.134466		 -507621.754530		 -519664.948597		 -531229.747965		 -542389.528309		 -553199.456261		 -563694.963450		 -568794.080944		
 -318156.068299		 -328354.303288		 -338743.059603		 -349331.579849		 -360139.019051		 -371195.742620		 -382545.029244		 -394244.304470		 -406362.900013		 -418966.318074		 -432052.549386		 -445825.155292		 -448479.176495		 -450745.006500		 -452852.767578		 -454886.478921		 -456887.800641		 -458887.607513		 -460924.129113		 -463073.986059		 -465537.411132		 -468527.598270		 -481873.282586		 -495025.134466		 -507621.754530		 -519664.948597		 -531229.747965		 -542389.528309		 -553199.456261		 -563694.963450		 -573893.198439		
 -317965.546972		 -328163.781961		 -338543.295673		 -349112.660893		 -359889.734685		 -370903.179564		 -382195.040641		 -393824.984154		 -405878.077494		 -418483.504824		 -431877.610416		 -446161.108323		 -448631.483654		 -450807.024983		 -452881.821057		 -454899.187018		 -456888.394992		 -458873.202457		 -460879.661891		 -462950.957328		 -465010.649066		 -466913.939570		 -482067.115020		 -495580.366284		 -508175.180525		 -520143.343297		 -531634.766988		 -542739.380700		 -553513.877024		 -563992.235650		 -574190.470639		
 -317593.746922		 -327791.981911		 -338153.680235		 -348686.033364		 -359404.079233		 -370332.200310		 -381506.969603		 -392982.514011		 -404840.920983		 -417212.013314		 -430301.843504		 -444361.513773		 -449078.624814		 -450969.788721		 -452968.304650		 -454940.053103		 -456893.389854		 -458837.145431		 -460770.358664		 -462666.964003		 -464507.905796		 -469180.010456		 -483900.871640		 -497054.035125		 -509355.257990		 -521098.477079		 -532426.595990		 -543419.350480		 -554124.435486		 -564569.631487		 -574767.866476		
 -317058.483537		 -327256.718526		 -337593.409993		 -348073.713094		 -358708.348573		 -369514.572841		 -380518.123448		 -391757.181305		 -403291.079113		 -415221.783946		 -427756.236515		 -441428.251194		 -449485.364745		 -451025.200436		 -453081.555719		 -454999.330889		 -456907.965889		 -458811.630749		 -460697.663332		 -462524.842530		 -464083.536606		 -475056.264008		 -487302.325960		 -499379.644587		 -511093.339231		 -522468.711037		 -533553.789412		 -544386.989745		 -554994.882953		 -565393.988337		 -575592.223326		
 -316384.763673		 -326582.998661		 -336889.528117		 -347307.060445		 -357841.029124		 -368499.619031		 -379293.770045		 -390237.008648		 -401344.430218		 -412627.806841		 -424073.067415		 -435534.470719		 -446211.520694		 -449849.956802		 -453333.386901		 -455067.748846		 -456927.512063		 -458791.540554		 -460559.243878		 -464652.078884		 -468273.380779		 -479659.183011		 -490872.523604		 -502068.878030		 -513169.743310		 -524129.238427		 -534932.860877		 -545579.936135		 -556074.118242		 -566419.215582		 -576617.450571		
 -315602.749341		 -325800.984330		 -336074.643371		 -346423.971444		 -356849.088448		 -367349.104114		 -377920.329053		 -388552.653025		 -399221.826269		 -409871.945785		 -420373.755584		 -430425.043575		 -439339.290449		 -445847.045488		 -452175.347981		 -454497.915706		 -457080.321073		 -459675.968155		 -462039.583420		 -468629.379555		 -475285.632650		 -484434.563652		 -494459.707414		 -504853.600621		 -515387.517552		 -525945.638483		 -536468.479534		 -546925.775677		 -557302.438299		 -567591.305179		 -577789.540168		
 -314745.310957		 -324943.545946		 -335184.089591		 -345465.093514		 -355782.249109		 -366127.379925		 -376485.789027		 -386831.448130		 -397118.276047		 -407264.394447		 -417124.965561		 -426452.657547		 -434873.552040		 -442023.586720		 -448232.996596		 -452908.607283		 -457181.176097		 -461470.774640		 -466203.792167		 -472540.223267		 -479805.206614		 -488333.731534		 -497678.141777		 -507498.299490		 -517581.087794		 -527797.318419		 -538069.643098		 -548352.248738		 -558618.554098		 -568854.026667		 -579052.261656		
 -313845.563917		 -324043.798905		 -334253.075534		 -344470.063912		 -354687.434549		 -364892.377449		 -375063.999002		 -385169.074419		 -395155.435344		 -404942.390394		 -414409.054666		 -423387.069011		 -431678.673444		 -439140.752755		 -445824.444400		 -451722.340733		 -457265.001393		 -462822.162142		 -468764.587341		 -475522.514731		 -483061.239006		 -491417.014093		 -500420.828671		 -509880.367767		 -519641.215714		 -529592.904302		 -539660.525700		 -549795.022081		 -559965.502687		 -570153.985736		 -580352.220725		
 -312934.775237		 -323133.010225		 -333314.349726		 -343474.652051		 -353605.047727		 -363690.696322		 -373708.755111		 -383625.415200		 -393392.000517		 -402940.677117		 -412181.793700		 -421007.890387		 -429313.319971		 -437036.306457		 -444201.687514		 -450891.309857		 -457334.326600		 -463788.285195		 -470509.880322		 -477724.009310		 -485500.220587		 -493852.257162		 -502707.791046		 -511961.127193		 -521510.502993		 -531272.557376		 -541184.533318		 -551201.811200		 -561294.448834		 -571444.192864		 -581642.427853		
 -312040.882045		 -322239.117034		 -332396.661093		 -342509.146839		 -352567.407984		 -362556.604999		 -372454.909922		 -382231.830753		 -391846.474405		 -401246.523859		 -410369.552628		 -419149.378868		 -427530.409596		 -435489.465587		 -443054.689342		 -450306.884581		 -457392.709956		 -464486.771715		 -471762.639443		 -479363.421600		 -487363.376869		 -495784.002922		 -504596.951156		 -513745.846967		 -523167.111690		 -532802.288892		 -542603.238997		 -552533.240564		 -562566.288586		 -572685.909034		 -582884.144023		
